country,iso_a3,urban_pop,gdp_per_capita,pop_est,continent,region_un
Slovakia,SVK,61.831146,27519.287,5473145,Europe,Europe
Slovenia,SVN,56.78515,32673.762,2115184,Europe,Europe
South Africa,ZAF,68.02588,11415.887,62378377,Africa,Africa
South Korea,KOR,86.09601,41320.9,51782473,Asia,Asia
Spain,ESP,81.25485,34123.387,47828339,Europe,Europe
Sri Lanka,LKA,19.098562,10705.481,22834913,Asia,Asia
Sweden,SWE,87.42421,47126.13,10487289,Europe,Europe
Switzerland,CHE,76.046135,63323.254,8792128,Europe,Europe
Syria,SYR,62.55012,2494.7612,22462118,Asia,Asia
Taiwan,TWN,80.385735,53142.984,23420051,Asia,Asia
Tajikistan,TJK,33.21207,5507.5454,10182185,Asia,Asia
Tanzania,TZA,33.277195,3057.3286,64711777,Africa,Africa
Thailand,THA,41.008335,16421.072,71735273,Asia,Asia
Togo,TGO,51.42974,1586.5889,9089693,Africa,Africa
Trinidad and Tobago,TTO,18.860535,25773.006,1495868,North America,Americas
Tunisia,TUN,71.39383,10913.846,12119284,Africa,Africa
Turkey,TUR,73.08345,27361.988,87058421,Asia,Asia
Turkmenistan,TKM,56.738125,17234.555,7230147,Asia,Asia
Uganda,UGA,18.201967,2122.0278,47312665,Africa,Africa
Ukraine,UKR,72.95766,7749.0996,41048717,Europe,Europe
United Arab Emirates,ARE,86.99315,77203.67,10242033,Asia,Asia
United Kingdom,GBR,89.40352,38406.53,68179267,Europe,Europe
United States,USA,85.54355,58487.465,341533996,North America,Americas
Uruguay,URY,93.65732,20181.94,3390863,South America,Americas
Uzbekistan,UZB,43.37431,12559.401,34938911,Asia,Asia
Venezuela,VEN,95.835724,5267.1753,28212961,South America,Americas
Vietnam,VNM,37.756424,8050.359,99680606,Asia,Asia
Yemen,YEM,39.849583,1959.3195,38222833,Asia,Asia
Zambia,ZMB,42.994038,3342.4214,20152890,Africa,Africa
Zimbabwe,ZWE,45.37538,1703.5294,16069010,Africa,Africa
